Indicator,  Merchandise imports by product group – annual (Million US dollar),,,,,,,,
,,,,,,,,,
Reporting Economy,Product/Sector,Partner Economy,2015,2016,2017,2018,2019,2020,
Azerbaijan,SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,65,66,104,215,152,190,
Azerbaijan,SI3_AGG - MAMTOTTL - Telecommunications equipment,World,161,156,216,271,363,394,
Azerbaijan,SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,World,39,11,10,47,35,53,
Azerbaijan,SI3_AGG - MAMTTE - Transport equipment,World,699,772,552,816,1223,1051,
Azerbaijan,SI3_AGG - MAMTAU - Automotive products,World,537,206,329,581,873,776,
Azerbaijan,SI3_AGG - MATE - Textiles,World,41,103,121,155,178,188,
Azerbaijan,SI3_AGG - MACL - Clothing,World,51,223,206,288,294,221,
Bahamas,SI3_AGG - TO - Total merchandise,World,2954,2632,3109,3317,3073,1937,
Bahamas,SI3_AGG - AG - Agricultural products,World,663,651,717,741,782,741,
Bahamas,SI3_AGG - AGFO - Food,World,611,592,647,678,713,671,
Bahamas,SI3_AGG - MI - Fuels and mining products,World,559,424,577,609,605,448,
Bahamas,SI3_AGG - MIFU - Fuels,World,535,403,554,584,582,428,
Bahamas,SI3_AGG - MA - Manufactures,World,1557,1555,1812,1963,1579,587,
Bahamas,SI3_AGG - MAIS - Iron and steel,World,30,27,37,34,54,31,
Bahamas,SI3_AGG - MACH - Chemicals,World,343,272,296,317,242,192,
Bahamas,SI3_AGG - MACHPH - Pharmaceuticals,World,55,55,55,56,52,53,
Bahamas,SI3_AGG - MAMT - Machinery and transport equipment,World,615,670,775,675,531,262,
Bahamas,SI3_AGG - MAMTOF - Office and telecom equipment,World,116,101,134,107,113,89,
Bahamas,SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,39,34,39,39,43,40,
Bahamas,SI3_AGG - MAMTOTTL - Telecommunications equipment,World,73,65,92,65,66,46,
Bahamas,SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,World,3,3,3,3,4,3,
Bahamas,SI3_AGG - MAMTTE - Transport equipment,World,208,248,279,218,292,68,
Bahamas,SI3_AGG - MAMTAU - Automotive products,World,142,179,184,142,187,44,
Bahamas,SI3_AGG - MATE - Textiles,World,41,36,44,46,42,28,
Bahamas,SI3_AGG - MACL - Clothing,World,52,49,58,83,89,51,
"Bahrain, Kingdom of",SI3_AGG - TO - Total merchandise,World,12408,11579,13145,14871,13256,12683,
"Bahrain, Kingdom of",SI3_AGG - AG - Agricultural products,World,2027,1877,1919,2034,1914,1891,
"Bahrain, Kingdom of",SI3_AGG - AGFO - Food,World,1905,1754,1798,1901,1810,1801,
"Bahrain, Kingdom of",SI3_AGG - MI - Fuels and mining products,World,1547,1194,1707,2490,2629,2168,
"Bahrain, Kingdom of",SI3_AGG - MIFU - Fuels,World,260,209,292,407,299,255,
"Bahrain, Kingdom of",SI3_AGG - MA - Manufactures,World,8517,8295,9290,10073,8491,8477,
"Bahrain, Kingdom of",SI3_AGG - MAIS - Iron and steel,World,350,292,503,507,448,441,
"Bahrain, Kingdom of",SI3_AGG - MACH - Chemicals,World,1126,1086,1096,1229,1216,1193,
"Bahrain, Kingdom of",SI3_AGG - MACHPH - Pharmaceuticals,World,293,307,275,334,361,338,
"Bahrain, Kingdom of",SI3_AGG - MAMT - Machinery and transport equipment,World,4701,4551,4955,5482,4515,4454,
"Bahrain, Kingdom of",SI3_AGG - MAMTOF - Office and telecom equipment,World,741,701,677,852,724,665,
"Bahrain, Kingdom of",SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,233,199,187,322,239,221,
"Bahrain, Kingdom of",SI3_AGG - MAMTOTTL - Telecommunications equipment,World,505,498,486,526,479,439,
"Bahrain, Kingdom of",SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,World,3,4,5,5,6,6,
"Bahrain, Kingdom of",SI3_AGG - MAMTTE - Transport equipment,World,2605,2475,2003,2080,1834,1247,
"Bahrain, Kingdom of",SI3_AGG - MAMTAU - Automotive products,World,2060,1663,1320,1352,1202,1015,
"Bahrain, Kingdom of",SI3_AGG - MATE - Textiles,World,179,137,114,130,109,144,
"Bahrain, Kingdom of",SI3_AGG - MACL - Clothing,World,292,304,352,330,286,257,
Bangladesh,SI3_AGG - TO - Total merchandise,World,42047,44772,52836,60495,59094,52804,
Bangladesh,SI3_AGG - AG - Agricultural products,World,11041,7552,11152,10659,10419,11499,
Bangladesh,SI3_AGG - AGFO - Food,World,7959,5926,8699,7834,7787,9047,
Bangladesh,SI3_AGG - MI - Fuels and mining products,World,3200,3663,5506,7681,8888,7161,
Bangladesh,SI3_AGG - MIFU - Fuels,World,2094,2388,3713,5663,6510,5002,
Bangladesh,SI3_AGG - MA - Manufactures,World,27777,30715,35446,41507,38893,33813,
Bangladesh,SI3_AGG - MAIS - Iron and steel,World,2259,1820,1906,2503,2288,1993,
Bangladesh,SI3_AGG - MACH - Chemicals,World,5586,4779,5531,6602,6453,6376,
Bangladesh,SI3_AGG - MACHPH - Pharmaceuticals,World,363,422,468,488,551,565,
Bangladesh,SI3_AGG - MAMT - Machinery and transport equipment,World,9532,10278,12488,14167,12464,10667,
Bangladesh,SI3_AGG - MAMTOF - Office and telecom equipment,World,1490,1848,2045,1985,1916,2056,
Bangladesh,SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,386,512,591,513,511,427,
Bangladesh,SI3_AGG - MAMTOTTL - Telecommunications equipment,World,1001,1245,1359,1392,1340,1538,
Bangladesh,SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,World,103,91,95,79,65,91,
Bangladesh,SI3_AGG - MAMTTE - Transport equipment,World,2426,2172,2823,3550,3734,2070,
Bangladesh,SI3_AGG - MAMTAU - Automotive products,World,882,1168,1416,1524,1254,945,
Bangladesh,SI3_AGG - MATE - Textiles,World,8269,8511,9744,11506,10657,9091,
Bangladesh,SI3_AGG - MACL - Clothing,World,950,399,317,307,276,292,
Barbados,SI3_AGG - TO - Total merchandise,World,1618,1622,1600,1578,1581,1518,
Barbados,SI3_AGG - AG - Agricultural products,World,365,361,369,378,379,364,
Barbados,SI3_AGG - AGFO - Food,World,348,343,351,362,363,346,
Barbados,SI3_AGG - MI - Fuels and mining products,World,316,264,325,387,374,273,
Barbados,SI3_AGG - MIFU - Fuels,World,302,251,313,372,364,260,
Barbados,SI3_AGG - MA - Manufactures,World,930,989,900,813,817,858,
Barbados,SI3_AGG - MAIS - Iron and steel,World,18,14,17,16,16,15,
Barbados,SI3_AGG - MACH - Chemicals,World,175,173,165,162,150,164,
Barbados,SI3_AGG - MACHPH - Pharmaceuticals,World,64,62,52,51,46,45,
Barbados,SI3_AGG - MAMT - Machinery and transport equipment,World,355,361,343,301,328,373,
Barbados,SI3_AGG - MAMTOF - Office and telecom equipment,World,87,87,72,60,59,75,
Barbados,SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,34,32,33,26,29,38,
Barbados,SI3_AGG - MAMTOTTL - Telecommunications equipment,World,49,44,36,29,23,27,
Barbados,SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,World,5,10,3,4,7,10,
