Reporting Economy,Product/Sector,Partner Economy,Year,Value,Product/Sector-reformatted,Type,Direction
Mexico,BOP6 - SD - Travel,World,2015,10098.0,Travel,services,imports
Mexico,BOP6 - SOX1 - Other commercial services,World,2015,9318.0,Other commercial services,services,imports
Mexico,BOP6 - S - Memo item: Total services,World,2015,32680.0,Memo item: Total services,services,imports
Netherlands,BOP6 - SA - Manufacturing services on physical inputs owned by others,World,2015,3580.0,Manufacturing services on physical inputs owned by others,services,imports
Netherlands,BOP6 - SB - Maintenance and repair services n.i.e.,World,2015,1632.0,Maintenance and repair services n.i.e.,services,imports
Netherlands,BOP6 - SC - Transport,World,2015,20957.0,Transport,services,imports
Netherlands,BOP6 - SD - Travel,World,2015,19818.0,Travel,services,imports
Netherlands,BOP6 - SOX1 - Other commercial services,World,2015,167174.0,Other commercial services,services,imports
Netherlands,BOP6 - S - Memo item: Total services,World,2015,213441.0,Memo item: Total services,services,imports
Russian Federation,BOP6 - SA - Manufacturing services on physical inputs owned by others,World,2015,138.0,Manufacturing services on physical inputs owned by others,services,imports
Russian Federation,BOP6 - SB - Maintenance and repair services n.i.e.,World,2015,1355.0,Maintenance and repair services n.i.e.,services,imports
Russian Federation,BOP6 - SC - Transport,World,2015,12074.0,Transport,services,imports
Russian Federation,BOP6 - SD - Travel,World,2015,34932.0,Travel,services,imports
Russian Federation,BOP6 - SOX1 - Other commercial services,World,2015,38736.0,Other commercial services,services,imports
Russian Federation,BOP6 - S - Memo item: Total services,World,2015,88768.0,Memo item: Total services,services,imports
"Saudi Arabia, Kingdom of",BOP6 - SC - Transport,World,2015,20097.0,Transport,services,imports
"Saudi Arabia, Kingdom of",BOP6 - SD - Travel,World,2015,19346.0,Travel,services,imports
"Saudi Arabia, Kingdom of",BOP6 - SOX1 - Other commercial services,World,2015,16248.0,Other commercial services,services,imports
"Saudi Arabia, Kingdom of",BOP6 - S - Memo item: Total services,World,2015,88036.0,Memo item: Total services,services,imports
Spain,BOP6 - SC - Transport,World,2015,10144.0,Transport,services,imports
Spain,BOP6 - SD - Travel,World,2015,17446.0,Travel,services,imports
Spain,BOP6 - SOX1 - Other commercial services,World,2015,34294.0,Other commercial services,services,imports
Spain,BOP6 - S - Memo item: Total services,World,2015,62218.0,Memo item: Total services,services,imports
Switzerland,BOP6 - SA - Manufacturing services on physical inputs owned by others,World,2015,32.0,Manufacturing services on physical inputs owned by others,services,imports
Switzerland,BOP6 - SB - Maintenance and repair services n.i.e.,World,2015,2406.0,Maintenance and repair services n.i.e.,services,imports
Switzerland,BOP6 - SC - Transport,World,2015,10889.0,Transport,services,imports
Switzerland,BOP6 - SD - Travel,World,2015,17207.0,Travel,services,imports
Switzerland,BOP6 - SOX1 - Other commercial services,World,2015,77429.0,Other commercial services,services,imports
Switzerland,BOP6 - S - Memo item: Total services,World,2015,108163.0,Memo item: Total services,services,imports
United Kingdom,BOP6 - SA - Manufacturing services on physical inputs owned by others,World,2015,975.0,Manufacturing services on physical inputs owned by others,services,imports
United Kingdom,BOP6 - SB - Maintenance and repair services n.i.e.,World,2015,1213.0,Maintenance and repair services n.i.e.,services,imports
United Kingdom,BOP6 - SC - Transport,World,2015,34934.0,Transport,services,imports
United Kingdom,BOP6 - SD - Travel,World,2015,68211.0,Travel,services,imports
United Kingdom,BOP6 - SOX1 - Other commercial services,World,2015,125171.0,Other commercial services,services,imports
United Kingdom,BOP6 - S - Memo item: Total services,World,2015,235013.0,Memo item: Total services,services,imports
United States of America,BOP6 - SB - Maintenance and repair services n.i.e.,World,2015,8084.0,Maintenance and repair services n.i.e.,services,imports
United States of America,BOP6 - SC - Transport,World,2015,99557.0,Transport,services,imports
United States of America,BOP6 - SD - Travel,World,2015,102664.0,Travel,services,imports
United States of America,BOP6 - SOX1 - Other commercial services,World,2015,266377.0,Other commercial services,services,imports
United States of America,BOP6 - S - Memo item: Total services,World,2015,498213.0,Memo item: Total services,services,imports
Australia,BOP6 - SA - Manufacturing services on physical inputs owned by others,World,2016,0.0,Manufacturing services on physical inputs owned by others,services,imports
Australia,BOP6 - SB - Maintenance and repair services n.i.e.,World,2016,517.0,Maintenance and repair services n.i.e.,services,imports
Australia,BOP6 - SC - Transport,World,2016,12225.0,Transport,services,imports
Australia,BOP6 - SD - Travel,World,2016,30803.0,Travel,services,imports
Australia,BOP6 - SOX1 - Other commercial services,World,2016,17906.0,Other commercial services,services,imports
Australia,BOP6 - S - Memo item: Total services,World,2016,62415.0,Memo item: Total services,services,imports
Brazil,BOP6 - SA - Manufacturing services on physical inputs owned by others,World,2016,4.0,Manufacturing services on physical inputs owned by others,services,imports
Brazil,BOP6 - SB - Maintenance and repair services n.i.e.,World,2016,178.0,Maintenance and repair services n.i.e.,services,imports
Brazil,BOP6 - SC - Transport,World,2016,8895.0,Transport,services,imports
Brazil,BOP6 - SD - Travel,World,2016,14497.0,Travel,services,imports
Brazil,BOP6 - SOX1 - Other commercial services,World,2016,37983.0,Other commercial services,services,imports
Brazil,BOP6 - S - Memo item: Total services,World,2016,63854.0,Memo item: Total services,services,imports
Canada,BOP6 - SB - Maintenance and repair services n.i.e.,World,2016,856.0,Maintenance and repair services n.i.e.,services,imports
Canada,BOP6 - SC - Transport,World,2016,20382.0,Transport,services,imports
Canada,BOP6 - SD - Travel,World,2016,32709.0,Travel,services,imports
Canada,BOP6 - SOX1 - Other commercial services,World,2016,49571.0,Other commercial services,services,imports
