NationRegionName,NationRegionType,2014M01,2014M02,2014M03,2014M04,2014M05,2014M06,2014M07,2014M08,2014M09,2014M10,2014M11,2014M12,2015M01,2015M02,2015M03,2015M04,2015M05,2015M06,2015M07,2015M08,2015M09,2015M10,2015M11,2015M12,2016M01,2016M02,2016M03,2016M04,2016M05,2016M06,2016M07,2016M08,2016M09,2016M10,2016M11,2016M12,2017M01,2017M02,2017M03,2017M04,2017M05,2017M06,2017M07,2017M08,2017M09,2017M10,2017M11,2017M12,2018M01,2018M02,2018M03,2018M04,2018M05,2018M06,2018M07,2018M08,2018M09,2018M10,2018M11,2018M12,2019M01,2019M02,2019M03,2019M04,2019M05,2019M06,2019M07,2019M08,2019M09,2019M10,2019M11,2019M12,2020M01,2020M02,2020M03,2020M04
Faroe Islands,Country,109.85,103.03,114.39,111.24,142.36,110.50,99.78,87.81,143.25,134.90,134.71,107.71,70.87,84.65,118.64,96.11,111.78,114.46,111.98,82.05,123.78,124.80,116.28,116.79,136.55,112.38,117.60,124.37,125.73,108.56,103.35,78.65,133.46,160.62,126.08,131.70,137.37,113.50,128.97,111.07,130.45,135.94,132.26,90.15,134.59,153.60,134.25,127.59,119.10,131.30,137.26,126.49,137.89,125.87,103.09,97.50,109.30,153.84,139.86,133.68,160.09,148.67,139.19,150.08,141.08,122.82,114.67,104.27,153.69,180.77,148.58,178.69,132.70,135.24,133.58,96.78
Gibraltar,Country,203.79,61.45,186.90,526.74,103.96,51.68,135.39,70.91,128.26,131.22,183.83,35.57,19.99,19.67,25.80,65.91,56.20,26.79,47.09,46.12,22.81,25.54,43.12,26.87,23.53,23.06,20.80,49.38,54.96,22.91,14.89,6.21,59.91,19.22,7.85,15.57,26.18,25.67,79.09,19.36,31.55,40.07,22.12,16.40,38.27,53.22,59.26,46.74,17.69,10.56,7.59,29.66,24.55,22.02,26.28,11.77,30.31,39.28,9.32,6.53,7.96,9.92,21.67,14.79,45.28,12.60,16.52,23.36,15.67,25.49,15.98,18.91,11.30,14.00,20.10,25.60
Hungary,Country,"8,270.70","8,729.55","9,730.20","9,326.46","9,244.74","9,422.33","9,517.62","7,736.10","9,652.55","9,396.34","9,028.02","8,322.26","7,591.54","8,024.18","8,984.98","8,087.65","8,033.64","8,829.61","8,475.27","7,387.66","9,063.54","9,030.02","8,779.58","8,104.55","7,295.70","8,382.80","8,944.89","8,851.55","8,587.57","9,117.04","8,016.28","8,163.64","9,269.04","8,844.43","9,185.40","8,174.60","7,912.34","8,491.84","9,808.05","8,704.24","9,741.45","9,795.42","9,112.01","9,128.91","10,361.48","10,250.19","10,803.86","9,446.82","9,936.18","10,337.98","11,186.63","10,459.91","10,776.92","10,671.54","9,845.27","9,412.74","9,863.57","10,780.79","10,593.32","9,190.36","9,840.99","9,949.10","10,863.19","10,333.97","10,424.53","9,996.21","10,285.98","9,027.30","10,592.35","11,148.32","10,780.70","9,232.41","9,666.98","10,199.49","10,052.86","6,818.62"
"Kosovo, Rep. of",Country,15.08,19.66,18.79,16.93,20.19,20.78,24.25,14.95,19.74,16.38,13.46,12.14,15.63,11.71,14.87,12.15,15.12,22.61,17.73,21.02,17.35,17.58,14.66,13.28,9.95,14.76,16.13,18.68,18.51,19.14,16.56,16.60,18.13,19.20,17.02,15.86,10.78,16.03,20.16,19.00,21.40,24.39,24.45,29.00,26.32,28.01,26.02,24.51,20.47,22.16,24.81,26.75,28.46,27.46,26.93,24.10,25.61,31.28,27.85,24.70,18.89,21.24,24.85,32.97,31.23,27.59,29.34,29.26,31.40,34.14,30.67,23.70,22.69,26.11,23.30,22.59
"Moldova, Rep. of",Country,208.76,237.13,237.79,230.52,229.46,251.49,231.89,199.19,224.44,244.13,242.22,229.88,155.65,196.56,210.68,189.97,193.96,224.71,200.95,163.20,181.09,213.70,194.32,216.19,153.97,176.53,174.91,183.42,192.41,185.71,178.47,187.16,198.26,215.86,246.23,242.73,184.95,191.32,242.39,178.67,213.06,200.72,221.69,257.06,252.04,331.32,338.91,309.70,277.85,303.51,287.98,276.97,286.13,264.05,272.51,251.05,246.50,284.88,309.23,287.42,245.00,289.31,297.21,291.42,254.71,249.88,261.20,249.73,282.21,302.31,288.78,277.38,268.53,281.79,275.30,170.90
Montenegro,Country,41.10,37.80,53.85,39.04,39.90,58.44,84.78,110.81,75.55,37.52,49.06,45.22,25.25,32.75,35.40,30.71,27.53,34.85,43.92,27.90,32.53,32.11,45.28,35.90,40.02,31.63,28.95,31.80,35.46,44.89,30.12,37.76,37.68,38.04,46.08,42.21,26.72,28.27,28.95,39.49,31.45,38.24,30.59,47.39,37.85,42.25,37.54,44.07,36.90,31.49,25.78,35.22,44.44,40.12,34.89,26.85,26.06,30.38,31.69,32.75,28.83,28.82,40.37,32.74,26.29,36.88,42.61,25.75,24.77,43.08,49.08,46.19,24.97,33.09,35.94,30.36
"North Macedonia, Republic of",Country,399.67,406.02,431.05,424.76,419.42,465.07,468.94,397.59,492.48,480.92,452.84,434.05,385.96,411.60,440.57,414.87,418.61,454.59,427.99,381.36,427.06,459.99,431.59,404.67,333.64,458.24,490.79,434.37,439.10,447.61,417.95,460.70,488.42,442.74,458.32,391.37,381.95,456.09,517.09,438.17,540.28,501.94,522.83,504.18,587.49,606.10,620.40,543.52,569.39,587.84,612.60,572.38,620.71,632.89,660.84,533.88,643.70,713.91,668.87,569.85,599.04,623.48,661.10,671.10,635.91,608.73,698.91,535.80,658.57,665.78,625.40,597.66,557.24,551.59,518.30,231.45
"Poland, Rep. of",Country,"15,880.92","16,402.51","18,246.90","17,929.34","17,172.66","17,345.84","17,612.91","15,241.09","18,084.58","18,689.01","16,784.49","16,154.49","14,554.75","15,186.30","16,595.59","15,489.72","15,736.95","16,467.08","15,900.63","14,246.56","16,933.40","17,373.67","16,421.08","15,662.66","14,111.69","16,203.18","17,315.34","17,004.54","16,513.51","17,315.28","15,707.46","15,776.72","17,880.87","17,566.19","17,760.45","16,562.13","16,041.79","16,372.63","19,240.68","16,906.16","18,582.20","18,913.31","18,366.04","18,589.80","20,524.81","21,571.25","21,873.67","19,437.64","20,531.64","20,260.99","22,167.41","21,282.93","20,849.22","21,069.44","20,574.35","19,321.59","21,047.03","23,036.41","22,243.83","19,093.70","20,581.31","20,414.44","22,610.38","21,418.33","21,561.81","20,631.37","21,399.31","19,055.80","21,754.31","23,533.84","22,573.78","20,310.99","20,746.36","20,625.14","21,162.68","15,365.41"
Romania,Country,"5,378.47","5,545.18","6,218.00","5,617.99","5,804.22","6,092.71","6,223.50","5,012.95","6,480.03","6,244.38","5,617.30","5,298.39","4,693.89","4,731.24","5,382.69","4,714.34","4,784.94","5,481.48","5,278.39","4,565.22","5,565.38","5,394.44","5,120.57","4,797.99","4,424.66","5,206.39","5,615.07","5,225.73","5,355.28","5,631.98","5,149.56","5,165.28","5,923.93","5,662.82","5,893.22","5,091.03","4,955.46","5,535.02","6,284.33","5,272.84","6,092.66","5,954.09","6,032.19","5,940.71","6,694.43","6,914.59","6,865.14","5,978.41","6,655.67","6,650.94","7,891.44","6,859.17","7,165.44","7,251.87","6,912.60","6,432.39","7,347.54","7,433.19","6,992.34","6,030.54","6,243.92","6,584.99","7,276.48","6,658.25","6,697.28","6,768.55","7,045.39","5,779.03","7,166.39","7,056.39","6,783.26","6,225.15","6,326.36","6,362.99","6,296.55","3,478.56"
Russian Federation,Country,"44,615.08","42,529.73","46,203.78","46,167.87","45,826.67","42,823.20","42,956.92","41,733.80","40,220.42","39,563.00","35,832.55","35,112.14","28,525.87","27,848.47","32,260.79","30,826.97","31,015.33","32,618.78","30,261.44","27,703.22","26,553.20","27,713.74","25,740.77","25,718.99","20,798.99","20,000.20","24,849.59","24,577.09","24,780.19","25,061.18","23,586.19","25,228.22","25,146.37","26,737.46","27,272.20","29,214.07","29,754.42","28,194.12","30,443.70","27,608.41","30,814.86","29,511.18","28,564.37","29,705.29","31,587.25","31,675.51","32,819.66","36,095.86","36,435.96","34,032.70","37,278.60","36,487.75","38,337.05","35,986.48","38,316.81","37,339.35","38,672.92","40,344.72","39,005.61","36,576.01","35,717.29","31,810.72","36,074.28","37,656.18","35,703.12","33,257.99","35,584.78","35,411.03","32,638.16","36,346.82","34,879.39","37,618.38","34,650.69","30,503.39","30,203.85","23,707.90"
"Serbia, Rep. of",Country,"1,057.63","1,237.63","1,506.75","1,368.15","1,324.68","1,454.99","1,395.67","1,086.88","1,335.38","1,314.47","1,153.77","1,252.32","1,001.97","1,093.95","1,272.74","1,165.32","1,201.55","1,299.18","1,310.56","1,055.33","1,274.19","1,220.31","1,158.17","1,171.96",943.87,"1,242.60","1,360.31","1,352.33","1,323.40","1,389.40","1,287.72","1,216.19","1,418.80","1,335.45","1,320.05","1,287.23","1,091.01","1,280.76","1,488.93","1,292.39","1,579.01","1,652.41","1,550.81","1,542.78","1,624.39","1,621.31","1,544.85","1,402.67","1,438.82","1,530.20","1,764.93","1,621.75","1,717.75","1,690.97","1,680.02","1,509.36","1,633.00","1,715.16","1,618.74","1,420.88","1,445.40","1,545.41","1,692.09","1,692.11","1,634.29","1,664.41","1,847.96","1,507.01","1,680.48","1,776.14","1,645.98","1,552.44","1,533.16","1,585.68","1,617.79","1,144.80"
Turkey,Country,"13,204.04","13,275.05","15,797.00","14,100.55","14,115.78","13,417.85","14,204.85","11,607.56","13,931.16","13,406.95","13,512.56","13,789.04","12,795.86","12,562.94","13,223.99","13,141.92","12,003.40","12,306.99","12,587.66","11,208.00","12,417.61","13,259.67","12,210.20","11,812.53","10,651.44","12,927.49","13,522.30","12,041.12","12,808.56","12,747.85","10,994.67","12,204.50","11,281.40","12,657.94","13,110.87","12,564.12","12,156.37","12,260.07","14,299.84","13,082.12","14,314.94","13,313.00","13,403.84","13,912.91","12,030.04","14,375.34","14,566.13","13,596.13","14,321.62","13,104.01","15,778.36","15,419.75","14,973.96","14,189.70","14,768.94","14,461.42","13,355.35","16,415.95","15,855.67","14,334.78","14,966.11","14,292.31","15,933.69","15,313.16","15,865.19","13,083.15","16,482.91","14,215.03","14,850.55","16,484.06","15,885.27","15,238.93","14,780.31","14,374.99","14,051.13","9,998.43"
Yugoslavia,Country,0.03,0.00,0.02,0.00,0.00,0.10,0.02,0.01,0.01,0.01,0.00,0.02,1.40,1.81,2.34,2.18,2.10,3.11,2.81,2.74,4.21,3.21,2.17,2.49,0.91,1.97,2.27,2.09,2.52,2.82,2.86,2.83,4.11,2.48,2.15,2.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ukraine,Country,"5,501.67","4,846.22","5,727.89","5,808.61","5,676.85","5,355.94","5,145.35","4,538.33","4,646.58","4,725.71","4,141.21","4,627.06","3,588.12","3,665.13","4,072.67","3,747.42","3,576.96","3,973.23","3,880.04","3,511.18","3,660.22","3,618.09","3,799.84","3,645.09","2,696.22","2,872.47","3,385.27","3,403.42","3,468.07","3,284.39","2,900.49","3,391.00","3,391.70","3,335.19","3,886.33","3,864.71","3,468.79","3,652.32","4,114.23","3,617.51","4,156.89","4,021.77","3,750.76","3,663.68","4,119.85","4,197.71","4,441.44","4,344.29","4,517.29","4,123.49","4,348.20","4,507.18","4,565.99","4,319.15","4,160.84","4,230.94","4,218.20","4,547.52","4,741.96","4,642.89","5,122.80","4,262.30","4,755.08","4,965.38","4,678.51","4,279.89","4,757.73","4,320.49","4,500.39","4,713.79","4,726.45","4,830.41","4,533.15","4,272.31","4,624.74","4,047.33"
Europe not specified,Country,156.28,175.91,180.04,184.71,201.02,236.67,182.25,179.31,189.21,203.05,160.90,182.93,104.97,108.94,127.04,104.85,110.36,105.43,105.20,114.01,97.94,108.52,106.19,115.60,438.42,550.08,584.88,545.65,570.49,590.30,501.80,600.76,618.11,832.51,723.66,648.16,512.58,514.17,679.83,672.90,545.51,696.72,615.48,525.49,643.55,703.33,"1,046.98",571.30,269.27,243.05,165.48,233.69,247.30,175.48,268.90,177.90,194.10,198.18,179.85,249.91,193.16,166.69,186.38,273.22,178.92,152.58,174.33,134.02,127.06,134.64,145.75,147.28,132.35,250.74,252.99,198.97
Middle East and Central Asia,Region,"126,665.17","111,596.40","123,064.01","118,351.53","118,348.25","110,941.22","122,480.63","116,000.11","116,005.00","108,565.85","100,065.66","100,442.17","81,212.18","71,914.47","79,606.34","80,108.22","76,784.95","81,656.69","81,872.78","72,132.49","69,586.58","68,584.39","65,223.36","70,176.27","56,795.54","55,822.17","62,611.19","61,574.25","66,490.89","69,328.30","67,214.90","71,662.82","67,254.87","67,663.30","72,511.32","74,891.42","76,483.18","76,113.37","86,147.64","75,722.75","81,395.41","72,144.34","73,611.47","79,659.50","77,575.51","82,831.43","87,812.57","88,301.58","96,380.63","88,963.51","94,844.07","94,483.09","100,523.29","97,006.38","103,531.27","102,399.52","94,980.46","108,093.68","102,545.54","94,263.35","92,983.85","82,638.48","93,260.57","95,058.38","97,598.29","87,402.91","93,997.15","87,853.82","84,045.80","86,278.89","87,484.56","93,022.38","90,560.94","81,195.56","75,117.63","50,453.05"
"Afghanistan, Islamic Rep. of",Country,76.44,64.02,93.46,73.71,64.84,71.68,61.30,57.59,81.21,93.55,78.69,93.96,77.29,79.07,70.32,69.33,60.19,53.31,54.08,58.67,90.40,87.23,93.21,99.11,75.72,81.99,85.21,92.05,92.82,78.92,76.12,74.41,104.82,100.56,105.49,117.05,89.04,57.73,32.76,33.20,60.85,79.35,54.72,107.17,157.11,139.76,110.69,109.18,108.54,86.43,75.16,72.63,102.40,73.44,72.03,93.21,135.16,158.31,143.19,121.29,181.24,169.33,168.69,177.29,193.61,121.72,163.20,148.22,214.46,269.19,250.68,259.34,172.82,182.26,124.76,46.44
Algeria,Country,"6,332.98","4,788.50","5,502.24","5,432.99","5,828.42","5,431.51","5,078.04","5,409.27","4,757.57","4,523.02","3,341.38","4,319.68","3,242.71","2,807.59","3,066.07","3,120.84","3,750.51","3,494.77","3,078.70","2,923.53","2,825.73","2,778.96","2,627.48","2,711.35","2,302.59","1,900.14","2,343.46","2,367.19","2,275.16","2,400.92","2,687.58","2,756.07","2,425.37","2,682.90","2,766.73","2,924.03","2,983.72","2,917.86","3,169.58","2,682.87","2,984.84","2,784.36","2,601.18","2,674.21","2,376.11","3,186.83","3,139.58","3,091.28","3,720.25","3,266.52","3,218.06","2,958.42","3,090.17","3,339.15","3,981.84","3,638.68","3,332.62","4,174.96","4,030.52","3,460.34","3,684.93","2,625.59","3,363.15","3,218.14","3,423.05","3,161.94","2,653.90","2,718.44","2,806.44","2,982.36","2,412.39","3,665.01","3,100.78","2,549.73","2,066.63","1,426.44"
"Armenia, Rep. of",Country,87.23,102.28,117.97,109.45,122.80,128.87,138.22,139.98,140.65,136.61,118.83,129.07,88.97,101.18,108.37,104.87,105.27,136.34,128.18,110.53,118.46,120.46,127.93,147.91,114.74,180.69,173.64,137.06,154.06,141.70,140.57,147.71,156.48,152.94,185.66,131.93,121.82,139.75,138.19,195.03,174.13,203.01,163.89,202.63,175.59,202.21,177.64,225.41,190.70,201.13,194.66,165.44,148.22,222.55,180.62,234.63,213.73,270.53,215.46,201.17,178.40,212.53,215.63,249.95,259.73,271.16,263.28,270.24,226.38,259.45,328.91,233.77,232.17,233.75,231.83,211.39
"Azerbaijan, Rep. of",Country,"2,773.05","2,356.68","2,360.99","2,987.14","2,792.28","1,919.32","2,701.50","2,022.68","1,934.66","2,351.37","1,868.83","1,680.20","1,516.43","1,525.58","1,495.55","1,731.66","1,391.16","1,561.48","1,643.24","1,314.73","1,456.77","1,261.37","1,337.43","1,151.58",763.78,897.68,"1,113.49",876.55,"1,434.81",944.74,"1,239.41","1,456.86",984.07,"1,077.31","1,144.13","1,120.28","1,594.70","1,496.40","1,385.77","1,285.01","1,712.28","1,383.39","1,555.47","1,460.60","1,388.45","1,607.24","1,563.63","1,670.16","1,933.32","1,851.80","1,467.24","1,679.95","1,412.31","1,923.87","2,058.48","1,847.87","1,537.15","2,056.59","1,735.34","1,591.43","1,736.00","1,319.62","1,399.97","1,810.40","1,962.63","1,531.65","1,509.42","1,232.05","1,312.30","1,427.02","1,479.96","1,427.52","1,586.66","1,334.42","1,121.04",664.19
"Bahrain, Kingdom of",Country,"1,058.65","1,041.24","1,059.57","1,068.88","1,057.08","1,037.78","1,229.64","1,164.68","1,298.09","1,057.56",927.57,979.58,877.12,806.54,854.55,768.71,797.93,717.92,759.10,700.56,767.07,694.02,670.45,682.41,526.19,573.39,612.47,573.48,622.17,627.05,628.38,594.10,549.26,636.94,708.42,846.00,768.68,656.68,972.77,793.37,"1,010.42",819.87,912.05,742.21,823.33,840.25,"1,172.67",819.89,806.56,"1,088.82",999.90,"1,132.46","1,144.66","1,092.82","1,130.36","1,252.70","1,189.91","1,139.80","1,373.87","1,016.32","1,123.08",978.04,"1,276.11","1,133.56","1,203.99","1,205.53","1,283.46","1,160.03","1,184.26","1,275.80","1,360.68","1,283.46","1,149.99","1,064.38",953.38,747.31
Djibouti,Country,10.81,13.00,17.41,13.87,14.80,13.93,16.21,13.46,15.77,13.68,21.88,25.21,36.06,15.52,17.46,21.34,28.48,11.75,9.59,15.41,9.95,11.28,14.43,16.28,12.24,14.74,13.94,21.90,23.73,16.37,16.24,21.40,14.81,19.12,29.27,14.48,16.90,21.33,19.00,13.87,27.72,16.90,30.46,26.29,22.05,22.59,27.27,17.41,15.01,15.04,23.11,32.89,20.77,24.91,17.68,35.82,16.23,21.65,17.42,29.88,14.27,14.81,19.44,19.93,13.20,16.23,23.01,27.67,23.73,14.41,16.87,11.86,12.73,10.96,9.67,7.95
"Egypt, Arab Rep. of",Country,"2,897.24","2,639.65","3,111.70","2,954.64","2,875.91","2,774.56","2,737.42","2,311.48","2,618.33","2,125.05","2,294.20","2,533.42","2,189.26","2,101.32","2,221.66","2,315.63","2,203.91","2,522.96","2,104.79","2,023.23","2,029.71","1,864.36","1,915.46","2,049.30","1,819.09","1,856.79","2,029.32","2,120.03","2,150.65","2,397.21","1,988.44","2,301.03","1,895.53","1,950.04","2,270.70","2,432.59","2,372.19","2,329.70","2,562.81","2,434.64","2,677.59","2,346.88","2,265.36","2,498.95","2,227.96","2,452.35","2,568.81","2,541.13","2,608.03","2,647.13","2,724.03","2,797.58","2,989.37","2,599.67","2,550.85","2,607.31","2,234.27","2,660.51","2,636.08","2,909.84","2,692.85","2,580.95","2,888.55","2,926.61","2,988.11","2,845.41","3,036.57","2,619.66","2,791.38","2,774.35","2,984.47","3,210.57","2,838.10","2,943.78","2,884.64","2,316.27"
Georgia,Country,185.52,214.91,217.31,187.87,244.28,228.69,217.13,336.29,261.69,235.48,282.99,223.94,198.17,161.83,191.62,223.92,238.13,178.90,197.74,160.31,201.48,182.46,188.98,170.39,124.36,168.83,140.66,159.82,131.07,195.38,155.13,183.31,150.32,157.70,185.00,199.72,159.03,165.39,260.73,191.89,201.63,193.66,218.09,216.98,188.92,226.43,211.28,204.65,193.55,259.38,214.86,231.58,206.39,242.02,191.20,247.26,193.44,194.56,223.22,229.67,161.80,239.02,288.80,222.15,255.60,237.95,249.10,216.34,164.85,219.74,225.13,270.23,233.71,207.19,259.47,190.81
"Iran, Islamic Rep. of",Country,"6,151.25","6,113.50","6,160.53","5,839.27","5,821.16","5,698.54","5,929.89","5,123.62","5,960.78","4,797.10","5,368.91","4,874.47","3,874.85","3,218.46","3,774.91","3,701.14","3,940.32","3,988.11","3,863.49","3,504.87","2,847.71","3,116.27","2,842.47","2,931.80","2,636.60","2,430.83","3,567.06","3,157.31","3,850.32","4,577.38","4,369.78","4,597.45","4,760.04","4,585.20","5,404.97","5,557.49","5,671.24","5,916.78","6,993.07","4,888.41","5,217.39","5,054.43","5,359.05","5,530.12","5,979.33","6,279.70","6,064.39","6,228.62","6,843.53","6,150.64","7,181.39","6,689.58","7,770.32","6,675.63","10,050.98","6,677.57","4,855.55","6,132.06","3,556.84","3,016.05","3,046.85","3,657.27","4,884.38","5,240.09","2,866.10","1,834.39","1,913.04","1,659.20","1,663.15","1,566.41","1,585.29","1,748.96","1,396.16","1,401.18","1,261.35",931.97
Iraq,Country,"7,225.20","7,208.28","8,039.90","7,269.25","7,407.17","6,164.65","9,221.69","7,910.19","7,253.30","6,024.54","6,440.85","6,642.76","4,761.38","3,937.09","3,984.38","4,321.54","4,637.90","5,421.25","5,566.51","4,453.59","4,106.15","4,434.65","4,266.66","4,677.13","3,029.02","2,881.59","2,865.76","3,765.97","4,469.23","4,072.20","4,601.10","4,622.83","4,897.26","4,301.44","4,467.38","5,251.09","5,768.98","4,981.87","6,231.08","5,646.84","5,057.96","5,709.37","5,615.18","5,571.58","5,829.53","5,685.60","6,096.15","6,157.16","9,582.76","5,776.60","7,169.66","7,857.09","8,702.99","7,748.72","8,086.29","7,744.71","7,608.39","9,879.84","8,764.73","6,948.49","7,563.41","6,821.38","7,327.65","7,013.06","9,457.38","7,506.10","7,684.24","7,884.49","7,273.81","7,017.83","8,146.36","7,511.26","9,287.39","7,472.26","6,404.43","3,033.52"
Jordan,Country,636.24,611.17,675.67,725.06,671.63,637.67,686.83,745.56,733.00,686.23,655.82,688.79,617.97,623.39,680.47,648.24,614.80,628.80,654.38,610.33,607.45,689.53,601.17,690.85,599.72,525.26,610.94,591.59,631.54,628.18,609.83,714.51,617.39,568.57,542.93,544.17,629.31,574.78,583.48,574.76,678.29,545.89,630.34,714.35,673.52,738.51,619.99,669.40,638.48,567.46,654.93,580.29,715.24,600.38,734.69,722.38,702.22,761.00,637.23,711.13,767.25,683.84,706.01,746.46,656.63,627.35,961.52,773.10,834.27,810.59,580.85,716.07,717.12,719.96,748.98,492.29
"Kazakhstan, Rep. of",Country,"6,000.81","4,971.38","5,268.51","5,169.33","4,808.09","4,912.64","5,796.64","5,246.15","4,738.69","4,620.91","4,058.30","4,728.65","2,992.33","2,948.21","3,645.70","3,281.49","3,655.37","3,257.37","3,558.18","2,833.79","2,635.11","2,763.19","2,415.94","3,198.28","2,083.70","2,217.39","2,410.42","2,604.22","2,515.23","2,685.59","2,468.95","2,784.91","2,287.67","2,792.57","2,816.27","2,829.97","3,098.93","3,132.76","3,612.13","3,188.83","3,934.15","3,064.92","3,207.10","3,377.86","3,390.56","3,660.31","4,090.76","3,927.52","4,578.43","3,653.70","4,111.38","4,118.90","4,192.28","4,691.29","4,241.09","4,919.32","3,943.91","4,525.83","4,132.07","4,100.09","3,804.66","3,416.69","4,125.39","4,789.08","4,631.11","4,553.90","4,454.90","4,181.22","3,729.14","3,719.32","3,858.33","4,239.82","4,542.61","3,912.96","3,565.09","2,829.08"
Kuwait,Country,"9,871.27","7,706.26","9,815.71","8,757.53","8,526.81","8,060.08","9,569.62","8,256.82","7,854.60","9,441.41","6,718.49","6,693.92","5,021.67","4,828.12","5,186.30","5,039.71","4,967.67","4,783.82","5,481.92","4,646.01","4,182.86","3,706.10","4,256.17","4,630.03","3,115.65","3,145.32","3,301.99","3,149.71","3,680.12","3,721.99","3,991.93","4,104.25","3,967.53","4,009.10","3,696.59","4,092.06","4,389.08","4,407.56","4,720.78","4,086.86","4,614.35","3,287.07","4,048.96","4,324.42","4,022.25","4,389.43","4,972.50","5,307.69","5,269.15","5,485.64","5,863.12","5,307.77","5,242.19","6,224.03","5,764.07","6,479.41","5,860.89","6,119.45","6,169.80","4,991.93","5,024.36","4,605.04","5,410.28","5,769.27","5,871.30","4,632.50","5,418.79","4,985.26","5,122.75","5,380.62","4,669.70","5,931.77","5,218.97","5,434.03","4,450.35","2,346.24"
Kyrgyz Rep.,Country,69.62,99.75,94.36,111.97,83.66,96.56,106.10,106.28,106.73,172.68,173.27,151.27,138.14,120.53,111.22,104.16,100.72,87.21,97.12,71.92,86.26,87.16,77.76,65.16,46.20,75.94,61.37,51.75,86.28,60.53,78.57,73.33,92.55,88.00,91.87,85.99,70.70,59.18,184.84,112.64,174.34,135.44,114.72,101.24,104.73,73.55,110.36,223.10,95.29,100.63,153.18,150.49,106.51,111.17,109.50,135.28,117.77,115.78,223.21,208.15,94.66,124.76,198.00,147.52,172.47,160.49,97.08,143.09,151.72,193.85,192.68,201.74,109.01,170.22,112.56,93.58
Lebanon,Country,338.78,345.40,358.68,360.73,416.13,351.56,356.74,335.95,398.36,344.20,499.28,568.55,288.75,303.49,346.64,285.13,320.09,304.48,298.86,302.22,277.74,309.28,270.26,297.92,304.75,274.49,328.15,326.04,313.12,278.90,230.68,297.01,263.83,241.19,287.84,309.07,293.47,252.69,319.23,374.98,313.97,312.42,298.64,287.08,321.95,372.92,453.39,297.24,353.67,287.75,332.94,376.18,354.97,318.71,337.88,311.99,276.51,305.70,321.00,296.50,292.63,302.03,339.04,346.11,796.83,368.31,458.57,427.87,444.77,390.43,338.40,419.50,401.37,360.84,338.05,250.79
Libya,Country,"1,630.96","1,697.07","1,304.06","1,158.72","1,697.91",864.65,"1,265.10","1,557.72","2,674.85","2,614.27","2,927.97","1,658.95","1,184.16",967.19,"1,011.53","1,307.54","1,048.31","1,142.94","1,054.96",944.10,824.01,825.75,696.06,744.25,686.48,576.47,787.28,701.42,828.55,682.50,870.35,766.89,702.64,812.38,"1,024.45","1,265.78","1,359.24","1,452.93","1,191.30","1,150.32","1,240.43","1,334.62","1,453.71","1,902.63","1,737.48","1,935.79","2,457.12","2,313.83","2,735.95","2,015.09","2,973.62","2,307.15","2,552.56","2,506.80","1,922.76","1,898.49","2,677.96","3,396.61","2,820.93","2,816.61","2,019.39","1,807.68","1,990.80","2,605.50","3,193.68","2,322.52","2,830.79","2,724.51","2,042.22","2,610.19","2,274.98","3,021.20","1,969.37","1,357.47",361.53,299.10
"Mauritania, Islamic Rep. of",Country,347.41,282.65,320.57,194.10,312.76,260.23,271.46,239.96,298.45,275.86,236.55,245.96,195.16,202.44,216.23,182.43,157.37,196.07,164.91,177.45,216.27,216.66,201.01,172.10,187.05,178.39,192.04,200.70,183.17,186.37,165.23,199.07,227.31,221.55,194.73,236.57,180.14,219.81,235.43,246.26,250.42,222.94,201.88,224.56,256.64,239.81,215.68,263.47,226.76,271.38,252.13,293.45,321.18,211.83,228.87,262.36,215.05,263.44,233.53,240.45,263.57,261.48,279.17,273.00,282.74,258.58,317.06,306.85,219.04,303.02,250.47,267.50,332.92,217.90,261.23,243.65
Morocco,Country,"1,912.72","1,947.25","2,279.97","2,309.71","2,219.76","2,080.92","2,129.73","1,587.88","2,154.23","1,957.92","2,030.85","2,165.16","1,995.40","2,085.84","2,158.09","2,205.85","1,995.45","2,251.20","2,077.42","1,705.77","1,941.48","1,945.10","2,045.00","2,220.33","1,929.64","2,315.97","2,629.57","2,211.05","2,128.84","2,037.50","1,761.81","1,876.96","1,690.08","1,921.11","2,220.03","2,223.56","2,259.76","2,142.47","2,606.73","2,251.58","2,481.39","2,095.03","2,102.84","2,151.77","1,918.17","2,400.08","2,521.64","2,535.35","2,494.78","2,568.22","3,255.81","2,762.69","2,800.24","2,467.86","2,587.71","2,158.44","2,067.78","2,577.76","2,418.47","2,568.37","2,597.78","2,492.44","2,806.20","2,774.28","2,662.94","2,312.04","2,622.63","1,967.32","2,200.75","2,703.59","2,604.34","2,423.51","2,600.20","2,468.89","2,630.55","1,611.52"
