Trading Partner,Total Trade ($M),RtW (%),Exports ($M),RtW (%),Imports ($M),RtW (%),Net Exports ($M),Exports Ticker,Imports Ticker
Somalia,26.67,0,26.3,0.01,0.37,0,25.92,726D1136 Index,136D1726 Index
Nepal,26.52,0,15.48,0,11.04,0,4.44,558D1136 Index,136D1558 Index
Laos,26.13,0,10.49,0,15.64,0,-5.15,544D1136 Index,136D1544 Index
Kyrgyzstan,23.67,0,22.7,0,0.97,0,21.72,917D1136 Index,136D1917 Index
Central African Rep.,22.96,0,22.55,0,0.41,0,22.14,626D1136 Index,136D1626 Index
Niger,20.33,0,20.12,0,0.21,0,19.92,692D1136 Index,136D1692 Index
Fiji,19.44,0,6.59,0,12.84,0,-6.25,819D1136 Index,136D1819 Index
Faeroe Islands,17.09,0,17.01,0,0.08,0,16.93,816D1136 Index,136D1816 Index
Peoples Democratic Republic of Yemen,16.83,0,10.11,0,6.72,0,3.39,474D1136 Index,136D1474 Index
Sierra Leone,16.38,0,15.82,0,0.56,0,15.26,724D1136 Index,136D1724 Index
Bermuda,15.82,0,8.07,0,7.75,0,0.32,319D1136 Index,136D1319 Index
Barbados,14.92,0,14.14,0,0.78,0,13.36,316D1136 Index,136D1316 Index
Cape Verde,13.48,0,11.05,0,2.44,0,8.61,624D1136 Index,136D1624 Index
Bahamas,13.03,0,7.85,0,5.18,0,2.67,313D1136 Index,136D1313 Index
Suriname,11.42,0,10.97,0,0.45,0,10.52,366D1136 Index,136D1366 Index
Haiti,10.85,0,8.48,0,2.37,0,6.1,263D1136 Index,136D1263 Index
Burundi,7.74,0,4.18,0,3.56,0,0.62,618D1136 Index,136D1618 Index
Aruba,7.24,0,7.23,0,0.01,0,7.22,314D1136 Index,136D1314 Index
Afghanistan,6.76,0,4.77,0,1.99,0,2.78,512D1136 Index,136D1512 Index
Vanuatu,3.28,0,0.81,0,2.47,0,-1.66,846D1136 Index,136D1846 Index
