Trading Partner,Total Trade ($M),RtW (%),Exports ($M),RtW (%),Imports ($M),RtW (%),Net Exports ($M),Exports Ticker,Imports Ticker
Sierra Leone,32.67,0,31.33,0.01,1.34,0,30,724D1112 Index,112D1724 Index
Nepal,31.58,0,14.2,0,17.38,0,-3.18,558D1112 Index,112D1558 Index
Laos,30.24,0,3.1,0,27.14,0,-24.04,544D1112 Index,112D1544 Index
Montenegro,28.64,0,22.23,0.01,6.42,0,15.81,943D1112 Index,112D1943 Index
St. Vincent & Grens.,26.64,0,25.71,0.01,0.93,0,24.78,364I1112 Index,112D1364 Index
Maldives,24.78,0,15.79,0,8.99,0,6.8,556D1112 Index,112D1556 Index
Bahamas,23.99,0,20.2,0.01,3.79,0,16.41,313D1112 Index,112D1313 Index
Greenland,23.59,0,7.19,0,16.41,0,-9.22,326D1112 Index,112D1326 Index
Togo,22.4,0,20.4,0.01,2,0,18.4,742D1112 Index,112D1742 Index
Other Countries,22.33,0,14.17,0,8.16,0,6.01,910D1112 Index,112D1910 Index
Cuba,22.17,0,14.04,0,8.13,0,5.91,928D1112 Index,112D1928 Index
Burundi,19.76,0,19.19,0.01,0.58,0,18.61,618D1112 Index,112D1618 Index
Somalia,19.45,0,18.17,0,1.28,0,16.89,726D1112 Index,112D1726 Index
Congo,19.44,0,16.8,0,2.63,0,14.17,634D1112 Index,112D1634 Index
Turkmenistan,18.84,0,17.05,0,1.79,0,15.25,925D1112 Index,112D1925 Index
Gambia,18.31,0,14.58,0,3.73,0,10.85,648D1112 Index,112D1648 Index
Liberia,17.81,0,13.97,0,3.85,0,10.12,668D1112 Index,112D1668 Index
Djibouti,17.02,0,10.73,0,6.29,0,4.44,611D1112 Index,112D1611 Index
Grenada,16,0,15.72,0,0.28,0,15.44,328D1112 Index,112D1328 Index
Chad,13.37,0,12.2,0,1.17,0,11.04,628D1112 Index,112D1628 Index
Syria,13.3,0,11.08,0,2.22,0,8.86,463D1112 Index,112D1463 Index
Solomon Islands,11.6,0,0.55,0,11.04,0,-10.49,813D1112 Index,112D1813 Index
Mauritania,9.95,0,6,0,3.94,0,2.06,682D1112 Index,112D1682 Index
Peoples Democratic Republic of Yemen,9.47,0,8.83,0,0.64,0,8.19,474D1112 Index,112D1474 Index
Afghanistan,8.62,0,4.6,0,4.02,0,0.58,512D1112 Index,112D1512 Index
St. Kitts And Nevis,8.52,0,7.89,0,0.63,0,7.27,361D1112 Index,112D1361 Index
Aruba,8.39,0,8.37,0,0.01,0,8.36,314D1112 Index,112D1314 Index
Dominica,8.21,0,7.43,0,0.79,0,6.64,321D1112 Index,112D1321 Index
