Trading Partner,Total Trade ($M),RtW (%),Exports ($M),RtW (%),Imports ($M),RtW (%),Net Exports ($M),Exports Ticker,Imports Ticker
Georgia,167.21,0.01,130.84,0.02,36.37,0.01,94.46,915D1132 Index,132D1915 Index
Iceland,160.08,0.01,134.43,0.02,25.65,0,108.77,176D1132 Index,132D1176 Index
Moldova,139.3,0.01,93.82,0.02,45.48,0.01,48.34,921D1132 Index,132D1921 Index
Fiji,137.77,0.01,135.44,0.02,2.33,0,133.1,819D1132 Index,132D1819 Index
Albania,133.74,0.01,101.24,0.02,32.5,0,68.75,914D1132 Index,132D1914 Index
Macedonia,129.57,0.01,105.12,0.02,24.46,0,80.66,962D1132 Index,132D1962 Index
Sudan,129.29,0.01,72.16,0.01,57.14,0.01,15.02,732D1132 Index,132D1732 Index
Guatemala,124.08,0.01,79.32,0.01,44.77,0.01,34.55,258D1132 Index,132D1258 Index
Honduras,116.65,0.01,35.65,0.01,81.01,0.01,-45.36,268D1132 Index,132D1268 Index
Suriname,116.25,0.01,29.49,0,86.76,0.01,-57.27,366D1132 Index,132D1366 Index
Tanzania,115.92,0.01,72.55,0.01,43.37,0.01,29.18,738D1132 Index,132D1738 Index
Uganda,114.11,0.01,91.38,0.02,22.73,0,68.65,746D1132 Index,132D1746 Index
Myanmar,104.71,0.01,34.64,0.01,70.08,0.01,-35.44,518D1132 Index,132D1518 Index
Liberia,98.46,0.01,28.32,0,70.13,0.01,-41.81,668D1132 Index,132D1668 Index
Armenia,84.11,0.01,79.83,0.01,4.27,0,75.56,911D1132 Index,132D1911 Index
Jamaica,77.52,0.01,34.33,0.01,43.19,0.01,-8.86,343D1132 Index,132D1343 Index
Zimbabwe,71.44,0.01,16.06,0,55.37,0.01,-39.31,698D1132 Index,132D1698 Index
Central African Rep.,70.14,0.01,66.13,0.01,4.01,0,62.12,626D1132 Index,132D1626 Index
Haiti,66.84,0.01,56.26,0.01,10.57,0,45.69,263D1132 Index,132D1263 Index
Bahamas,66.04,0.01,20.09,0,45.96,0.01,-25.87,313D1132 Index,132D1313 Index
Nicaragua,60.48,0,23.3,0,37.17,0.01,-13.87,278D1132 Index,132D1278 Index
El Salvador,59.06,0,46.55,0.01,12.51,0,34.04,253D1132 Index,132D1253 Index
