Trading Partner,Total Trade ($M),RtW (%),Exports ($M),RtW (%),Imports ($M),RtW (%),Net Exports ($M),Exports Ticker,Imports Ticker
Mauritania,192.99,0.02,110.5,0.02,82.49,0.01,28.01,682D1138 Index,138D1682 Index
Jamaica,185.5,0.02,74.02,0.01,111.47,0.02,-37.45,343D1138 Index,138D1343 Index
Uzbekistan,184.65,0.02,166.13,0.03,18.52,0,147.61,927D1138 Index,138D1927 Index
Georgia,184.35,0.02,157.39,0.03,26.96,0,130.42,915D1138 Index,138D1915 Index
Cape Verde,183.95,0.02,182.99,0.03,0.96,0,182.03,624D1138 Index,138D1624 Index
Congo,158.01,0.01,22.02,0,136,0.02,-113.98,634D1138 Index,138D1634 Index
Faeroe Islands,154.29,0.01,65.26,0.01,89.03,0.01,-23.77,816D1138 Index,138D1816 Index
Paraguay,154.18,0.01,74.74,0.01,79.44,0.01,-4.69,288D1138 Index,138D1288 Index
Burkina Faso,151.02,0.01,130.51,0.02,20.51,0,109.99,748D1138 Index,138D1748 Index
Aruba,148.46,0.01,145.13,0.03,3.32,0,141.81,314D1138 Index,138D1314 Index
Zambia,139.8,0.01,64.42,0.01,75.38,0.01,-10.97,754D1138 Index,138D1754 Index
Equatorial Guinea,132.58,0.01,48.54,0.01,84.04,0.01,-35.5,642D1138 Index,138D1642 Index
Madagascar,127.86,0.01,20.59,0,107.27,0.02,-86.68,674D1138 Index,138D1674 Index
Other Countries,125.24,0.01,83.57,0.01,41.67,0.01,41.9,910D1138 Index,138D1910 Index
Cuba,124.45,0.01,83.28,0.01,41.16,0.01,42.12,928D1138 Index,138D1928 Index
Zimbabwe,120.32,0.01,11.54,0,108.78,0.02,-97.24,698D1138 Index,138D1698 Index
Armenia,118.08,0.01,29.53,0.01,88.55,0.01,-59.02,911D1138 Index,138D1911 Index
Azerbaijan,114.67,0.01,96.04,0.02,18.64,0,77.4,912D1138 Index,138D1912 Index
Mauritius,108.03,0.01,30.5,0.01,77.53,0.01,-47.03,684D1138 Index,138D1684 Index
Sierra Leone,99.37,0.01,48.16,0.01,51.21,0.01,-3.05,724D1138 Index,138D1724 Index
Moldova,93.61,0.01,59.68,0.01,33.92,0.01,25.76,921D1138 Index,138D1921 Index
Venezuela,93.27,0.01,15.29,0,77.98,0.01,-62.7,299D1138 Index,138D1299 Index
Guyana,91.24,0.01,33.68,0.01,57.57,0.01,-23.89,336D1138 Index,138D1336 Index
Mali,87.83,0.01,75.81,0.01,12.02,0,63.78,678D1138 Index,138D1678 Index
Barbados,87.64,0.01,83.19,0.01,4.45,0,78.75,316D1138 Index,138D1316 Index
Macau,86.22,0.01,74.19,0.01,12.03,0,62.16,546D1138 Index,138D1546 Index
Sudan,78.22,0.01,75.22,0.01,3,0,72.23,732D1138 Index,138D1732 Index
Albania,77.29,0.01,64.18,0.01,13.11,0,51.07,914D1138 Index,138D1914 Index
Nicaragua,76.49,0.01,22.29,0,54.19,0.01,-31.9,278D1138 Index,138D1278 Index
Togo,75.6,0.01,56.89,0.01,18.71,0,38.17,742D1138 Index,138D1742 Index
Chad,69.74,0.01,60.58,0.01,9.16,0,51.42,628D1138 Index,138D1628 Index
Malawi,62.7,0.01,23.13,0,39.57,0.01,-16.44,676D1138 Index,138D1676 Index
Laos,57.58,0,17.74,0,39.84,0.01,-22.1,544D1138 Index,138D1544 Index
Liberia,55.63,0,27.69,0,27.94,0,-0.25,668D1138 Index,138D1668 Index
El Salvador,55.62,0,35.9,0.01,19.72,0,16.18,253D1138 Index,138D1253 Index
Benin,55.43,0,47.96,0.01,7.47,0,40.49,638D1138 Index,138D1638 Index
Turkmenistan,48.72,0,48.24,0.01,0.49,0,47.75,925D1138 Index,138D1925 Index
Montenegro,47.63,0,45.11,0.01,2.52,0,42.59,943D1138 Index,138D1943 Index
Syria,43.2,0,31.17,0.01,12.03,0,19.14,463D1138 Index,138D1463 Index
Haiti,40.15,0,35.27,0.01,4.88,0,30.39,263D1138 Index,138D1263 Index
Seychelles,38.51,0,17.54,0,20.97,0,-3.44,718D1138 Index,138D1718 Index
Greenland,31.8,0,16.91,0,14.89,0,2.02,326D1138 Index,138D1326 Index
