Trading Partner,Total Trade ($M),RtW (%),Exports ($M),RtW (%),Imports ($M),RtW (%),Net Exports ($M),Exports Ticker,Imports Ticker
Honduras,34.25,0.01,12.15,0,22.09,0.01,-9.94,268D1146 Index,146D1268 Index
Madagascar,31.26,0.01,8.25,0,23.01,0.01,-14.76,674D1146 Index,146D1674 Index
Jamaica,28.25,0,26.28,0.01,1.97,0,24.31,343D1146 Index,146D1343 Index
Sudan,27.45,0,24.08,0.01,3.37,0,20.71,732D1146 Index,146D1732 Index
Barbados,26.77,0,25.44,0.01,1.32,0,24.12,316D1146 Index,146D1316 Index
Cameroon,25.52,0,18.78,0.01,6.74,0,12.04,622D1146 Index,146D1622 Index
Peoples Democratic Republic of Yemen,24.57,0,24.55,0.01,0.02,0,24.54,474D1146 Index,146D1474 Index
Zimbabwe,24.12,0,18.35,0.01,5.78,0,12.57,698D1146 Index,146D1698 Index
Nicaragua,23.31,0,12.88,0,10.43,0,2.45,278D1146 Index,146D1278 Index
Aruba,23.04,0,21.49,0.01,1.55,0,19.94,314D1146 Index,146D1314 Index
Syria,22.99,0,21.87,0.01,1.11,0,20.76,463D1146 Index,146D1463 Index
Trinidad And Tobago,21.69,0,20.82,0.01,0.87,0,19.95,369D1146 Index,146D1369 Index
New Caledonia,19.41,0,19.34,0.01,0.07,0,19.27,839D1146 Index,146D1839 Index
Montenegro,19.22,0,16.67,0.01,2.55,0,14.12,943D1146 Index,146D1943 Index
Fiji,18.03,0,17.95,0.01,0.08,0,17.86,819D1146 Index,146D1819 Index
Brunei Darussalam,16.74,0,13.84,0,2.9,0,10.94,516D1146 Index,146D1516 Index
Maldives,13.43,0,7.72,0,5.71,0,2.01,556D1146 Index,146D1556 Index
Rwanda,11.52,0,11.42,0,0.1,0,11.32,714D1146 Index,146D1714 Index
"Congo, Democratic Republic",10.28,0,7.71,0,2.57,0,5.14,636D1146 Index,146D1636 Index
Solomon Islands,10.2,0,0.35,0,9.84,0,-9.49,813D1146 Index,146D1813 Index
Sierra Leone,9.96,0,9.59,0,0.37,0,9.21,724D1146 Index,146D1724 Index
Seychelles,9.65,0,3.74,0,5.9,0,-2.16,718D1146 Index,146D1718 Index
Afghanistan,8.91,0,8.76,0,0.15,0,8.61,512D1146 Index,146D1512 Index
Haiti,8.77,0,5.03,0,3.74,0,1.28,263D1146 Index,146D1263 Index
North Korea,7.18,0,3.88,0,3.3,0,0.58,954D1146 Index,146D1954 Index
Burundi,6.91,0,6.83,0,0.07,0,6.76,618D1146 Index,146D1618 Index
Central African Rep.,5.78,0,5.49,0,0.29,0,5.2,626D1146 Index,146D1626 Index
Cape Verde,5.77,0,5.77,0,0,0,5.77,624D1146 Index,146D1624 Index
Gambia,5.14,0,5.13,0,0.01,0,5.13,648D1146 Index,146D1648 Index
Laos,4.9,0,0.58,0,4.32,0,-3.75,544D1146 Index,146D1544 Index
Guyana,4.58,0,4.48,0,0.1,0,4.37,336D1146 Index,146D1336 Index
Equatorial Guinea,3.2,0,3.2,0,0,0,3.2,642D1146 Index,146D1642 Index
St. Vincent & Grens.,3.13,0,0.32,0,2.81,0,-2.5,364I1146 Index,146D1364 Index
Chad,2.92,0,2.9,0,0.02,0,2.88,628D1146 Index,146D1628 Index
Congo,2.28,0,1.65,0,0.63,0,1.03,634D1146 Index,146D1634 Index
Faeroe Islands,2.07,0,0.12,0,1.95,0,-1.82,816D1146 Index,146D1816 Index
