Trading Partner,Total Trade ($M),RtW (%),Exports ($M),RtW (%),Imports ($M),RtW (%),Net Exports ($M),Exports Ticker,Imports Ticker
Other Countries,30.39,0,20.69,0,9.71,0,10.98,910D1542 Index,542D1910 Index
Cuba,30.39,0,20.69,0,9.71,0,10.98,928D1542 Index,542D1928 Index
Mauritania,29.95,0,2.65,0,27.29,0.01,-24.64,682D1542 Index,542D1682 Index
Venezuela,26.56,0,12.07,0,14.49,0,-2.41,299D1542 Index,542D1299 Index
Somalia,22.98,0,19.77,0,3.21,0,16.57,726D1542 Index,542D1726 Index
Sierra Leone,22.43,0,5.05,0,17.38,0,-12.33,724D1542 Index,542D1724 Index
Zimbabwe,19.69,0,8.31,0,11.38,0,-3.06,698D1542 Index,542D1698 Index
Vanuatu,16.66,0,5.04,0,11.62,0,-6.58,846D1542 Index,542D1846 Index
Montenegro,16.55,0,13.07,0,3.48,0,9.6,943D1542 Index,542D1943 Index
Congo,13.45,0,7.07,0,6.39,0,0.68,634D1542 Index,542D1634 Index
Benin,11.37,0,11.11,0,0.26,0,10.84,638D1542 Index,542D1638 Index
Samoa,11.31,0,10.02,0,1.29,0,8.74,862D1542 Index,542D1862 Index
Suriname,10.44,0,0.33,0,10.12,0,-9.79,366D1542 Index,542D1366 Index
Djibouti,8.35,0,3.61,0,4.74,0,-1.13,611D1542 Index,542D1611 Index
Niger,7.33,0,5.07,0,2.26,0,2.81,692D1542 Index,542D1692 Index
Seychelles,7.21,0,3.65,0,3.56,0,0.1,718D1542 Index,542D1718 Index
Barbados,6.87,0,6.16,0,0.71,0,5.46,316D1542 Index,542D1316 Index
Bermuda,6.58,0,6.25,0,0.33,0,5.92,319D1542 Index,542D1319 Index
Belize,6.29,0,5.94,0,0.35,0,5.58,339D1542 Index,542D1339 Index
Central African Rep.,6.23,0,5.84,0,0.4,0,5.44,626D1542 Index,542D1626 Index
Haiti,5.56,0,2.1,0,3.46,0,-1.35,263D1542 Index,542D1263 Index
Maldives,5.31,0,5.21,0,0.1,0,5.11,556D1542 Index,542D1556 Index
Gambia,4.81,0,0.69,0,4.12,0,-3.43,648D1542 Index,542D1648 Index
Netherlands Antilles,3.65,0,3.63,0,0.02,0,3.62,353D1542 Index,542D1353 Index
Burundi,3.19,0,2.83,0,0.36,0,2.48,618D1542 Index,542D1618 Index
Guyana,2.74,0,1.26,0,1.48,0,-0.21,336D1542 Index,542D1336 Index
Guinea-Bissau,2.46,0,0.21,0,2.25,0,-2.04,654D1542 Index,542D1654 Index
Faeroe Islands,2.22,0,1.75,0,0.47,0,1.27,816D1542 Index,542D1816 Index
St. Lucia,1.9,0,1.73,0,0.17,0,1.57,362D1542 Index,542D1362 Index
Tonga,1.56,0,0.14,0,1.43,0,-1.29,866D1542 Index,542D1866 Index
Bahamas,1.39,0,1.33,0,0.06,0,1.27,313D1542 Index,542D1313 Index
Grenada,1.11,0,1.1,0,0.01,0,1.09,328D1542 Index,542D1328 Index
Chad,1,0,0.97,0,0.02,0,0.95,628D1542 Index,542D1628 Index
Cape Verde,0.82,0,0.82,0,0,0,0.82,624D1542 Index,542D1624 Index
St. Vincent & Grens.,0.73,0,0.69,0,0.04,0,0.64,364I1542 Index,542D1364 Index
Comoros,0.63,0,0.42,0,0.21,0,0.2,632D1542 Index,542D1632 Index
Dominica,0.33,0,0.22,0,0.11,0,0.11,321D1542 Index,542D1321 Index
Greenland,0.21,0,0.01,0,0.2,0,-0.2,326D1542 Index,542D1326 Index
Sao Tome & Principe,0.18,0,0.16,0,0.02,0,0.14,716D1542 Index,542D1716 Index
